1000000000,1500000000,2000000000,2500000000,3000000000
19.259996,29.025264,38.465387,48.376592,58.058929
19.394441,29.006770,38.686307,48.334896,57.975531
19.383496,29.002421,38.548999,48.327437,57.981666
19.309888,28.978905,38.652509,48.408758,57.976161
19.283350,28.945475,38.647704,48.294266,58.011203
19.317972,29.108215,38.588346,48.299956,57.911720
19.412898,28.916532,38.698310,48.439292,58.081916
19.345610,28.941541,38.604285,48.298846,57.953618
19.272914,28.997557,38.713500,48.367537,57.945384
19.319857,28.948089,38.619376,48.310009,57.945750
19.322760,29.037779,38.686020,48.291656,57.928866
19.324137,28.958006,38.714220,48.337267,57.947724
19.300734,29.000669,38.656305,48.310623,58.106706
19.311117,28.934377,38.611528,48.195122,57.966724
19.296214,29.030950,39.034272,48.249101,57.966016
19.559100,28.998804,39.064715,48.405276,58.030873
19.348506,29.046710,38.715958,48.434810,58.037454
19.341847,28.942887,38.620969,48.261128,58.095372
19.395792,28.966206,38.646035,48.405401,57.886313
19.359338,28.905074,38.689056,48.304746,58.125734
19.330624,28.919041,38.694606,48.251607,57.899532
19.302922,28.970893,38.641329,48.436884,57.937783
19.320143,29.331417,38.591533,48.392748,57.949159
19.302113,28.953291,38.604189,48.343491,58.051683
19.329854,28.986157,38.610752,48.323471,57.911398
19.320084,29.025836,38.685430,48.397605,57.975168
19.349235,28.939526,38.591915,48.380448,58.053254
19.393403,28.999864,38.676899,48.373942,58.107624
19.313531,29.020393,38.579758,48.292731,57.990540
19.339073,29.089291,38.601029,48.300822,57.982682
